city,neighborhood,normalized_neighborhood,arnona_zone,building_type,price_per_sqm_yearly,source_year,source_document,conflict_resolved,all_zones_found,notes
ירושלים,קרית שמואל,קרית שמואל,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,רא ס אל עמוד,רא ס אל עמוד,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,רוחמה,רוחמה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,רוממה,רוממה,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,רוממה המורחבת,רוממה המורחבת,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,רוממה מורחבת,רוממה מורחבת,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,רחביה,רחביה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,רכס שורק,רכס שורק,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,רמות אלון,רמות אלון,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,רמות אלון הגבעה הצרפתית,רמות אלון הגבעה הצרפתית,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,רמת דניה,רמת דניה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,רמת מוצא,רמת מוצא,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,רמת שרת,רמת שרת,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,רסקו,רסקו,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,רשאה,רשאה,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,שייח ג ראח,שייח ג ראח,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,שיך ג ראח,שיך ג ראח,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,שיכוני עמידר,שיכוני עמידר,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,שלומציון המלכה,שלומציון המלכה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,שמואל הנביא,שמואל הנביא,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,שמעה,שמעה,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,שנלר,שנלר,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,שערי חסד,שערי חסד,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,תיקים,תיקים,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,תיקים קרית משה,תיקים קרית משה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,תל ארזה,תל ארזה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,תלפיות,תלפיות,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,תלפיות שיכון עממי,תלפיות שיכון עממי,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
